Year,FG,FGA,FGP,TP,TPA,TPP,PTS
1980,43.00 ,88.33 ,48.68%,0.17 ,2.67 ,6.25%,104.17 
1981,33.83 ,89.33 ,37.87%,0.50 ,1.83 ,27.27%,86.67 
1982,46.17 ,92.50 ,49.91%,0.67 ,2.33 ,28.57%,112.50 
1983,40.75 ,90.25 ,45.15%,0.75 ,3.75 ,20.00%,100.50 
1984,46.71 ,90.71 ,51.50%,0.86 ,2.57 ,33.33%,117.43 
1985,43.83 ,92.00 ,47.64%,2.17 ,5.67 ,38.24%,113.17 
1986,41.83 ,92.83 ,45.06%,0.83 ,2.83 ,29.41%,102.00 
1987,43.67 ,86.17 ,50.68%,2.33 ,7.00 ,33.33%,111.00 
1988,38.57 ,81.00 ,47.62%,1.29 ,4.43 ,29.03%,101.29 
1989,36.00 ,77.50 ,46.45%,3.25 ,10.75 ,30.23%,102.25 
1990,37.40 ,82.00 ,45.61%,2.20 ,9.40 ,23.40%,102.00 
1991,33.40 ,74.80 ,44.65%,2.60 ,9.20 ,28.26%,91.60 
1992,35.33 ,79.83 ,44.26%,1.67 ,8.67 ,19.23%,96.67 
1993,40.67 ,86.83 ,46.83%,4.50 ,10.33 ,43.55%,106.67 
1994,33.14 ,81.43 ,40.70%,5.14 ,15.00 ,34.29%,86.86 
1995,40.75 ,87.50 ,46.57%,10.25 ,29.50 ,34.75%,107.00 
1996,31.00 ,69.67 ,44.50%,5.33 ,17.00 ,31.37%,89.17 
1997,30.83 ,71.67 ,43.02%,5.83 ,14.17 ,41.18%,87.17 
1998,31.83 ,71.83 ,44.32%,2.17 ,10.00 ,21.67%,80.17 
1999,30.80 ,78.60 ,39.19%,2.20 ,10.80 ,20.37%,79.80 
2000,36.33 ,78.50 ,46.28%,8.17 ,19.33 ,42.24%,106.67 
2001,35.40 ,83.40 ,42.45%,3.40 ,11.80 ,28.81%,93.80 
2002,38.75 ,88.75 ,43.66%,4.50 ,14.75 ,30.51%,96.75 
2003,30.33 ,82.00 ,36.99%,3.83 ,13.83 ,27.71%,82.00 
2004,31.60 ,76.00 ,41.58%,4.40 ,17.80 ,24.72%,81.80 
2005,35.43 ,81.57 ,43.43%,2.57 ,10.71 ,24.00%,86.71 
2006,33.00 ,78.17 ,42.22%,5.50 ,19.33 ,28.45%,91.83 
2007,31.00 ,78.50 ,39.49%,5.50 ,18.75 ,29.33%,80.50 
2008,33.00 ,74.83 ,44.10%,7.17 ,20.67 ,34.68%,93.83 
2009,32.20 ,75.20 ,42.82%,7.60 ,23.00 ,33.04%,91.20 
2010,33.00 ,76.14 ,43.34%,4.71 ,15.29 ,30.84%,87.14 
2011,33.67 ,74.67 ,45.09%,7.50 ,21.67 ,34.62%,92.33 
2012,36.60 ,80.40 ,45.52%,6.40 ,21.00 ,30.48%,98.00 
2013,35.86 ,79.57 ,45.06%,8.71 ,21.43 ,40.67%,97.71 
2014,33.60 ,71.20 ,47.19%,9.20 ,23.20 ,39.66%,91.60 
2015,32.67 ,85.17 ,38.36%,8.17 ,27.83 ,29.34%,93.50 
2016,35.57 ,82.57 ,43.08%,13.43 ,36.00 ,37.30%,99.86 
2017,41.60 ,90.20 ,46.12%,13.20 ,34.60 ,38.15%,114.80 
2018,37.75 ,92.00 ,41.03%,9.00 ,30.50 ,29.51%,101.00 
